1门店名称,2电话,3所属城市,4区域,5星级,6所属分类,7sheng,8shi,9qu,10addredd,X坐标,Y坐标
郑州·猎狐部落汽车音响改装生活馆,18638681888,郑州市,市辖区,1,车行,河南省,郑州市,市辖区,郑州市城东路与货站街交叉口南20米路东,34.742186,113.697628
郑州·钢铁侠汽车维修,13608684202,郑州市,市辖区,1,车行,河南省,郑州市,市辖区,郑州市大学路与郑航街向东200米,34.712776,113.65497
郑州·七人堂·昌盛汽车,13027522234,郑州市,市辖区,1,车行,河南省,郑州市,市辖区,郑州市中州大道与凤鸣路向西200米路北,34.755865,113.729832
郑州·龍一汽车美容,15617702239,郑州市,市辖区,1,车行,河南省,郑州市,市辖区,郑州市经北二路与经开第一大街西北角（理想超市旁）,34.732286,113.745611
上蔡·雅士爱车之家,13526351888,驻马店市,上蔡县,1,车行,河南省,驻马店市,上蔡县,上蔡县北环路苏豫中学西300米路南,33.280667,114.299535
上蔡·向阳一站式汽车服务,15890706880,驻马店市,上蔡县,1,车行,河南省,驻马店市,上蔡县,上蔡县车管所红绿灯西北角,33.269493,114.250452
上蔡·梅特莱斯,18037531673,驻马店市,上蔡县,1,车行,河南省,驻马店市,上蔡县,上蔡县秦相路南段广电局南50米,33.26232,114.261533
上蔡·德国马牌,15890805007,驻马店市,上蔡县,1,车行,河南省,驻马店市,上蔡县,上蔡县秦相路南段（看花楼小学对面）,33.261547,114.262176
阜阳·文峰车行,15905580199,阜阳市,颍东区,1,车行,安徽省,阜阳市,颍东区,阜阳市颍东区幸福西路烟厂北门对面安居花苑   D区,32.913766,115.859218
阜阳·90後精工汽车美容,15555815582,阜阳市,颍泉区,1,车行,安徽省,阜阳市,颍泉区,阜阳市颍泉区河滨路环球外滩国际西侧,32.918661,115.825015
泌阳·车行天下精致养车坊,13703805530,驻马店市,泌阳县,1,车行,河南省,驻马店市,泌阳县,泌阳县迎宾路交警大队旁,32.738066,113.353413
泌阳·镁车坊汽车服务会所,0396-3201699,驻马店市,泌阳县,1,车行,河南省,驻马店市,泌阳县,泌阳县文明路与大桥路交叉口东南角花儿朵朵幼儿园斜对面,32.731609,113.342525
汝南·阳光苑汽车美容中心（德国马牌）,15978828155,驻马店市,汝南县,1,车行,河南省,驻马店市,汝南县,汝南县王家巷与北环路交叉口,33.018743,114.374899
驻马店·德国马牌利星汽车服务中心,0396-2681117,驻马店市,驿城区,1,车行,河南省,驻马店市,驿城区,文明路与纬一路交叉口向西200米路北 ,33.021681,114.018938
汝南·新起点汽车维修美容中心,15893935058,驻马店市,汝南县,1,车行,河南省,驻马店市,汝南县,汝南县汝河假日酒店北100米,33.013302,114.346637
汝南·车驿站汽车美容总汇,0396-8027066,驻马店市,汝南县,1,车行,河南省,驻马店市,汝南县,汝南县登瀛路清河路交叉口南50米路东,33.000714,114.362347
驻马店·乐途汽车维修服务,18300711186,驻马店市,驿城区,1,车行,河南省,驻马店市,驿城区,驻马店市驿城区骏马路与金山巷交叉口向西50米,33.014792,114.02468
驻马店·德力汽车服务,18639642118,驻马店市,驿城区,1,车行,河南省,驻马店市,驿城区,驻马店市驿城区练江路与盘龙山路交叉口向北100米,32.967093,114.010196
驻马店·宇通汽车美容装饰,18939673619,驻马店市,驿城区,1,车行,河南省,驻马店市,驿城区,驻马店是驿城区交通路与薄山路交叉口向西200米,32.983214,113.990597
驻马店·德国马牌汽车服务,13353891527,驻马店市,驿城区,1,车行,河南省,驻马店市,驿城区,驻马店市驿城区前进大道北段,33.010188,114.058583
郑州·东海汽车美容装饰中心,18237128012,郑州市,市辖区,1,车行,河南省,郑州市,市辖区,郑州市郑东新区通泰路与宏图街交叉口向东100米路南（东海洗浴会所院内）,34.758325,113.741969
驻马店·建之特汽车划痕修复专家,17739535215,驻马店市,驿城区,1,车行,河南省,驻马店市,驿城区,驻马店市驿城区白桥路与天顺路交叉口西北角,32.971657,114.033815
郑州·快车道汽车服务连锁,0371-65372029,郑州市,市辖区,1,车行,河南省,郑州市,市辖区,郑州市郑东新区商鼎路与聚源路交叉口西北角,34.761548,113.745608
郑州·邓禄普轮胎·小梁汽车装饰,13007628138,郑州市,市辖区,1,车行,河南省,郑州市,市辖区,郑州市郑东新区商鼎路与通泰路交叉口东200米路北,34.761341,113.741887
郑州·驰加,0371-86503178,郑州市,市辖区,1,车行,河南省,郑州市,市辖区,郑州市郑东新区东风南路与正光路交叉口东400米路南,34.778853,113.775392
郑州·快车道·喜麦店,0371-56053522,郑州市,市辖区,1,车行,河南省,郑州市,市辖区,郑州市郑东新区东风南路正光路东200米路北 ,34.778695,113.772792
驻马店·隆祥汽车服务中心,0396-2372999,驻马店市,驿城区,1,车行,河南省,驻马店市,驿城区,驻马店市驿城区中华大道（盘龙山路路口西200米）,32.97641,114.006375
郑州·卡卡汽车主题生活馆·双塔店,0371-55989544,郑州市,管城回族区,1,车行,河南省,郑州市,管城回族区,郑州市郑东新区康平路北段绿地中心双子塔西侧,34.765188,113.76852
郑州·卡卡汽车主题生活馆·绿城老街店,0371-87506882,郑州市,市辖区,1,车行,河南省,郑州市,市辖区,郑州市郑东新区九如东路与天赋路交汇处,34.790594,113.751524
郑州·卡卡汽车主题生活馆·富田店,0371-60971007,郑州市,管城回族区,1,车行,河南省,郑州市,管城回族区,郑州市中州大道与灵隐路富田太阳城（美食街）,34.732372,113.721626
郑州·卡卡汽车主题生活馆·阿卡迪亚,0371-69179168,郑州市,市辖区,1,车行,河南省,郑州市,市辖区,郑州市郑东新区熊儿河路阿卡迪亚小区北门东侧,34.774129,113.748606
车管家汽车服务有限公司,0396-3666726,驻马店市,驿城区,1,车行,河南省,驻马店市,驿城区,驻马店驿城区解放路与文明路交叉东100原市委党校院内,32.981017,114.026846
飞劲轮胎轿之林汽车俱乐部,13803961952,驻马店市,平舆县,1,车行,河南省,驻马店市,平舆县,平舆县永乐大道东段怡馨庄园对面,32.952992,114.657591
众筹之星高端汽车服务俱乐部,13513970067,驻马店市,平舆县,1,车行,河南省,驻马店市,平舆县,平舆县西城华府附近（清河南路南）,32.970388,114.618937
洗车人家汽车美容连锁机构,18039615200,驻马店市,新蔡县,1,车行,河南省,驻马店市,新蔡县,新蔡县新郑路双语幼儿园对面,32.779548,114.951476
爱卡汽车养护中心,13271711711,驻马店市,新蔡县,1,车行,河南省,驻马店市,新蔡县,新蔡县新正路消防队西100米路北,32.751293,114.95917
爱车行汽车美容VIP会所,18135615533,驻马店市,新蔡县,1,车行,河南省,驻马店市,新蔡县,新蔡县干宝大道老年病医院楼下西10米,32.766053,114.967442
倍耐力轮胎,13283092888,驻马店市,平舆县,1,车行,河南省,驻马店市,平舆县,平舆县清河大道1-22,32.973619,114.627375
锦湖轮胎,18300794919,驻马店市,遂平县,1,车行,河南省,驻马店市,遂平县,107国道公安局巡警大队北侧,33.158193,114.00777
鹏举汽车维修中心,17737380118,驻马店市,遂平县,1,车行,河南省,驻马店市,遂平县,嵖岈山镇下宋水库东200米路南,33.207015,113.754529
顺鑫汽车维修美容装饰,13419725510,驻马店市,确山县,1,车行,河南省,驻马店市,确山县,确山县龙山路中段水岸星城,32.822809,114.040252
御车汇汽车美容会所,18137533801,驻马店市,确山县,1,车行,河南省,驻马店市,确山县,确山县护城河路与盘龙大道交叉口向北50米路西,32.802414,114.025441
兴科汽车美容装饰,15939672130,驻马店市,遂平县,1,车行,河南省,驻马店市,遂平县,遂平县老107乡村公路管理所楼下,33.16256,114.008586
御驾汽车美容服务中心旗舰店,15539662622,驻马店市,驿城区,1,车行,河南省,驻马店市,驿城区,雪松路与铜山大道交叉口向东300米路北,32.993493,114.0033
百汇汽车装饰美容,15039618855,驻马店市,驿城区,1,车行,河南省,驻马店市,驿城区,驻马店驿城区,33.001094,114.035459
驻马店·翔达汽车美容装饰,18739623525,驻马店市,驿城区,1,车行,河南省,驻马店市,驿城区,翔达汽车美容装饰,32.972089,114.057109
驻马店·宝鑫行名车维修,18300752567,驻马店市,驿城区,3,车行,河南省,驻马店市,驿城区,金山路翠景花园,33.01509,114.038307
驻马店·小友汽车服务中心,15893958633,驻马店市,驿城区,3,车行,河南省,驻马店市,驿城区,乐乐山路南段水果市场小友汽车服务中心,32.972142,114.040844
驻马店·新世纪专业维修服务,13033805518,驻马店市,驿城区,3,车行,河南省,驻马店市,驿城区,天中山大道与练江路向北200米东,32.970691,114.01845
驻马店·洁美仕汽车服务部,13598901332,驻马店市,驿城区,5,车行,河南省,驻马店市,驿城区,开源路与金山路交叉口,33.016717,114.038902
驻马店·远航汽车服务中心,15839681919,驻马店市,驿城区,3,车行,河南省,驻马店市,驿城区,文祥路与迅达路交叉口,32.99983,114.018805
