门店名称,电话,所属城市,区域,星级,所属分类,地址,X坐标,Y坐标
郑州·驰加·光辉店,13783558577,郑州市,金水区,1,车行,"河南省,郑州市,市辖区,郑州市宋寨南街天明路向东300米路南",34.810824,113.649272
郑州·中华爱车一站式服务中心,13592675061,郑州市,金水区,1,车行,"河南省,郑州市,市辖区,郑州市三全路花园路交叉口东北角",34.834576,113.688611
郑州·醒车汇汽车服务广场,13607692446,郑州市,中原区,1,车行,"河南省,郑州市,市辖区,郑州市伊河路华山路向西100米路北",34.7484,113.608183
郑州·新港汽车服务中心,13526688553,郑州市,金水区,1,车行,"河南省,郑州市,市辖区,郑州市经三路广电南路向东500米路南",34.811175,113.703679
郑州·赛维斯汽车装饰用品商行,13140000767,郑州市,金水区,1,车行,"河南省,郑州市,市辖区,郑州市国基路丰庆路交叉口向西50米路北",34.826455,113.65418
郑州·樂驾养护专家,18839015791,郑州市,金水区,1,车行,"河南省,郑州市,市辖区,郑州市三全路索凌路交叉口向西200米路南",34.837256,113.644084
郑州·老王汽车装饰,13592589737,郑州市,中原区,1,车行,"河南省,郑州市,市辖区,郑州市华山路与岗坡路交叉口东北角",34.758584,113.606431
郑州·碧泉镀晶·嵩山路店,15136280214,郑州市,二七区,1,车行,"河南省,郑州市,市辖区,郑州市嵩山路南三环交叉口向东20米路南",34.705376,113.636377
郑州·养车猫汽车服务连锁·橄榄城店,15136280214,郑州市,二七区,1,车行,"河南省,郑州市,市辖区,郑州市连云路丹枫路向西200米路口右转50米路东",34.700745,113.674539
郑州·微利天弘汽车美容装饰,13663848365,郑州市,金水区,1,车行,"河南省,郑州市,市辖区,郑州市红旗路与经七路交叉口西北角",34.783188,113.678543
郑州·车仕捷洗车坊,13333865163,郑州市,二七区,1,车行,"河南省,郑州市,市辖区,郑州市淮北街民安路向北150米路西",34.737791,113.642472
郑州·车车在线汽车维修美容服务,18737101508,郑州市,金水区,1,车行,"河南省,郑州市,市辖区,郑州市文博西路与白庙路向西100米",34.801529,113.676568
郑州·致远汽车快速服务中心1号店,13721405525,郑州市,金水区,1,车行,"河南省,郑州市,市辖区,郑州市三全路与丰庆路向南300米",34.834794,113.654804
郑州·快车道·新世兴店,15138998666,郑州市,二七区,1,车行,"河南省,郑州市,市辖区,郑州市郑密路与沁河路交叉口向西100米路南",34.728997,113.630007
郑州·快车道·汉江路店,15138998666,郑州市,二七区,1,车行,"河南省,郑州市,市辖区,郑州市兴华南街与汉江路向东200米路北",34.721669,113.641683
郑州·三轮车夫一站式汽车服务,18236984444,郑州市,管城回族区,1,车行,"河南省,郑州市,市辖区,郑州市第八大街与经南四路交叉口向东100米",34.719139,113.77206
郑州·猎狐部落汽车音响改装生活馆,18638681888,郑州市,管城回族区,1,车行,"河南省,郑州市,市辖区,郑州市城东路与货站街交叉口南20米路东",34.742186,113.697628
郑州·钢铁侠汽车维修,13608684202,郑州市,二七区,1,车行,"河南省,郑州市,市辖区,郑州市大学路与郑航街向东200米",34.712776,113.65497
郑州·七人堂·昌盛汽车,13027522234,郑州市,金水区,1,车行,"河南省,郑州市,市辖区,郑州市中州大道与凤鸣路向西200米路北",34.755865,113.729832
郑州·龍一汽车美容,15617702239,郑州市,管城回族区,1,车行,"河南省,郑州市,市辖区,郑州市经北二路与经开第一大街西北角（理想超市旁）",34.732286,113.745611
郑州·东海汽车美容装饰中心,18237128012,郑州市,郑东新区,1,车行,"河南省,郑州市,市辖区,郑州市郑东新区通泰路与宏图街交叉口向东100米路南（东海洗浴会所院内）",34.758325,113.741969
郑州·快车道汽车服务连锁,0371-65372029,郑州市,郑东新区,1,车行,"河南省,郑州市,市辖区,郑州市郑东新区商鼎路与聚源路交叉口西北角",34.761548,113.745608
郑州·邓禄普轮胎·小梁汽车装饰,13007628138,郑州市,郑东新区,1,车行,"河南省,郑州市,市辖区,郑州市郑东新区商鼎路与通泰路交叉口东200米路北",34.761341,113.741887
郑州·驰加,0371-86503178,郑州市,郑东新区,1,车行,"河南省,郑州市,市辖区,郑州市郑东新区东风南路与正光路交叉口东400米路南",34.778853,113.775392
郑州·快车道·喜麦店,0371-56053522,郑州市,郑东新区,1,车行,"河南省,郑州市,市辖区,郑州市郑东新区东风南路正光路东200米路北 ",34.778695,113.772792
郑州·卡卡汽车主题生活馆·双塔店,0371-55989544,郑州市,管城回族区,1,车行,"河南省,郑州市,管城回族区,郑州市郑东新区康平路北段绿地中心双子塔西侧",34.765188,113.76852
郑州·卡卡汽车主题生活馆·绿城老街店,0371-87506882,郑州市,郑东新区,1,车行,"河南省,郑州市,市辖区,郑州市郑东新区九如东路与天赋路交汇处",34.790594,113.751524
郑州·卡卡汽车主题生活馆·富田店,0371-60971007,郑州市,管城回族区,1,车行,"河南省,郑州市,管城回族区,郑州市中州大道与灵隐路富田太阳城（美食街）",34.732372,113.721626
郑州·卡卡汽车主题生活馆·阿卡迪亚,0371-69179168,郑州市,郑东新区,1,车行,"河南省,郑州市,市辖区,郑州市郑东新区熊儿河路阿卡迪亚小区北门东侧",34.774129,113.748606
